54,47,51,65,37,64,65,71,57,42,48,43,34,62,56,68,63,39,53,66,53,69,48,30,59,51,62,57,62,38,40,39
32,45,58,50,57,35,65,51,44,59,62,62,47,58,29,47,65,60,40,53,36,44,33,29,43,37,60,41,70,37,46,35
35,68,71,57,37,50,42,33,37,22,36,42,65,45,59,68,62,26,39,50,68,37,25,28,36,68,73,74,60,33,62,42
27,34,56,45,64,43,60,66,49,43,48,71,80,65,44,41,46,47,25,63,41,41,48,60,48,43,53,55,42,56,47,69
57,62,33,43,56,59,49,48,72,45,45,58,54,52,42,51,71,35,58,33,47,59,65,47,72,44,34,60,71,43,56,63
44,52,49,34,64,53,46,41,19,59,62,51,25,61,33,60,40,55,57,52,37,43,59,45,53,38,73,41,50,52,64,56
57,67,30,52,49,55,38,53,53,48,54,33,54,50,52,67,48,47,62,49,50,59,73,37,68,54,46,53,49,62,71,33
63,47,50,68,46,43,53,63,49,59,65,44,52,49,62,53,50,68,42,34,70,59,48,50,49,61,45,46,39,58,47,58
56,46,68,68,34,66,66,51,27,73,48,44,52,37,57,33,66,60,54,51,58,69,56,70,52,49,47,27,54,37,46,40
34,47,44,47,51,32,63,33,46,71,63,64,36,52,33,24,61,60,34,69,48,46,45,60,44,66,66,28,66,36,44,35
36,67,68,54,35,48,42,59,71,55,40,40,33,35,63,48,60,38,38,73,73,36,36,69,35,49,69,52,57,39,65,48
27,37,69,43,61,44,60,46,78,22,48,71,45,64,41,75,44,39,25,48,29,42,50,49,52,44,56,52,44,53,45,69
48,60,52,45,52,60,46,43,63,48,46,57,64,49,43,45,72,36,54,49,55,63,60,70,55,43,36,57,73,41,56,65
73,50,28,33,65,51,47,34,33,40,60,56,26,45,33,44,44,49,59,31,55,42,58,49,67,55,73,39,51,53,68,57
51,36,51,50,52,57,38,51,47,63,57,35,50,32,57,46,53,67,63,47,54,59,68,48,48,63,46,45,50,63,69,38
50,54,47,69,40,41,51,65,47,42,68,43,45,52,59,69,64,48,42,61,39,60,46,50,56,68,43,38,52,55,49,60
49,63,26,68,47,68,66,54,65,61,48,42,64,68,51,60,62,70,51,57,31,70,52,67,46,53,48,57,38,41,40,41
44,66,48,72,33,31,68,36,46,80,62,61,53,56,29,49,52,67,39,64,53,44,45,62,39,32,64,41,34,42,45,35
65,53,72,44,51,52,48,56,78,44,40,36,54,47,66,70,33,58,44,47,39,33,35,66,28,68,72,69,36,34,59,46
37,38,69,55,35,49,60,49,78,42,49,71,36,65,39,50,27,32,25,61,51,42,43,46,48,53,56,56,63,53,40,69
66,60,46,47,66,34,41,40,54,41,48,50,67,52,44,45,53,50,52,32,58,62,66,69,72,53,37,59,54,40,58,62
48,44,52,41,49,43,45,30,33,61,59,47,26,62,32,48,47,47,62,43,57,44,61,49,51,37,73,34,66,53,67,57
53,42,46,51,52,64,38,51,51,50,58,46,47,50,53,64,48,67,60,51,45,59,73,47,67,52,51,46,55,61,69,34
57,36,34,62,71,68,51,64,46,57,65,61,42,48,60,55,34,48,47,49,33,58,53,53,51,38,49,40,36,51,45,62
77,52,57,66,57,66,65,54,31,71,46,73,63,37,50,67,49,74,56,61,33,70,30,59,25,32,54,51,48,39,41,41
50,61,62,49,41,47,64,37,46,71,63,52,52,54,62,46,65,67,34,68,57,41,51,60,56,28,25,40,40,41,45,35
33,50,69,56,30,50,46,58,68,47,37,35,53,34,40,68,69,59,36,72,43,36,41,47,41,53,30,70,57,36,63,50
53,60,52,46,25,44,62,48,78,41,51,71,40,64,47,45,45,32,25,48,48,42,28,69,27,49,50,57,37,54,42,69
48,43,35,41,48,62,42,41,64,44,64,56,68,52,35,44,72,48,49,46,28,64,45,48,50,47,68,60,74,45,55,59
57,40,46,33,78,51,48,33,33,59,64,48,26,62,58,48,42,53,83,32,57,41,68,51,77,37,42,37,51,55,71,50
56,36,31,49,49,56,37,52,47,49,45,42,51,51,59,60,50,46,49,48,59,62,52,64,59,59,49,53,53,64,70,58
74,52,51,70,53,43,52,63,44,60,31,47,55,34,73,57,47,70,62,62,69,55,50,57,53,60,48,43,37,54,51,38
57,62,39,70,69,70,70,52,66,76,43,61,53,50,49,65,62,60,71,50,45,67,55,39,23,53,61,27,55,39,33,38
